x=-53.532520,y=6.361677
x=-53.432883,y=6.370184
x=-53.333287,y=6.379169
x=-53.322560,y=6.380160
x=-53.223005,y=6.389588
x=-53.123480,y=6.399317
x=-53.023984,y=6.409348
x=-52.924520,y=6.419681
x=-52.825087,y=6.430315
x=-52.725687,y=6.441251
x=-52.626320,y=6.452488
x=-52.526988,y=6.464027
x=-52.427691,y=6.475867
x=-52.328431,y=6.488008
x=-52.229208,y=6.500449
x=-52.130023,y=6.513192
x=-52.030878,y=6.526235
x=-51.931772,y=6.539579
x=-51.832707,y=6.553224
x=-51.733684,y=6.567168
x=-51.634704,y=6.581413
x=-51.535768,y=6.595958
x=-51.436876,y=6.610804
x=-51.338029,y=6.625948
x=-51.239229,y=6.641393
x=-51.140476,y=6.657137
x=-51.041772,y=6.673181
x=-50.943116,y=6.689524
x=-50.844511,y=6.706165
x=-50.745956,y=6.723106
x=-50.647454,y=6.740346
x=-50.549004,y=6.757884
x=-50.450607,y=6.775721
x=-50.352265,y=6.793856
x=-50.253979,y=6.812289
x=-50.195130,y=6.823480
x=-50.096685,y=6.841047
x=-49.998308,y=6.858989
x=-49.900000,y=6.877308
x=-49.801763,y=6.896002
x=-49.703598,y=6.915072
x=-49.605507,y=6.934516
x=-49.507491,y=6.954336
x=-49.409551,y=6.974529
x=-49.311689,y=6.995097
x=-49.213907,y=7.016039
x=-49.116205,y=7.037354
x=-49.018585,y=7.059043
x=-48.921049,y=7.081104
x=-48.823598,y=7.103539
x=-48.726234,y=7.126345
x=-48.628957,y=7.149523
x=-48.531770,y=7.173073
x=-48.434673,y=7.196994
x=-48.337668,y=7.221287
x=-48.240757,y=7.245949
x=-48.143941,y=7.270982
x=-48.047222,y=7.296385
x=-47.950600,y=7.322157
x=-47.854077,y=7.348298
x=-47.757655,y=7.374808
x=-47.661335,y=7.401686
